idd: 606, Name: Pfaffenberg, Height: 622
idd: 607, Name: Passo della Crocetta da Rossiglione, Height: 621
idd: 608, Name: Col du Ménil, Height: 621
idd: 609, Name: Staffelegg, Height: 621
idd: 610, Name: Col du Plafond, Height: 620
idd: 611, Name: Böhler Passhöchi, Height: 617
idd: 612, Name: Passo del Bracco, Height: 615
idd: 613, Name: Steinpass, Height: 615
idd: 614, Name: Steinenbühlhöhe, Height: 613
idd: 615, Name: Egg, Height: 607
idd: 616, Name: Egg Rotberg, Height: 602
idd: 617, Name: Wisserlen, Height: 595
idd: 618, Name: Waldegg Uitikon, Height: 592
idd: 619, Name: Passo San Udalrico, Height: 584
idd: 620, Name: Col de Celaccia, Bocca di Cilaccia, Height: 583
idd: 621, Name: Linden, Height: 583
idd: 622, Name: Ampfernhöhe, Height: 579
idd: 623, Name: Buuseregg, Height: 577
idd: 624, Name: Colle Sant' Eusebio, Height: 574
idd: 625, Name: Bözberg, Height: 569
idd: 626, Name: Whiskypass, Height: 564
idd: 627, Name: Renggloch, Height: 563
idd: 628, Name: Col de Toutes Aures, Height: 560
idd: 629, Name: Col de Saales, Height: 556
idd: 630, Name: Monte Ceneri, Height: 554
idd: 631, Name: Bernerhöchi, Height: 554
idd: 632, Name: Mutschellen, Height: 552
idd: 633, Name: Bürersteig, Height: 550
idd: 634, Name: Scheideck, Height: 541
idd: 635, Name: Col de Teghime, Bocca di Teghime, Height: 536
idd: 636, Name: Passo del Turchino, Height: 532
idd: 637, Name: Gubrist, Height: 531
idd: 638, Name: Colle del Giovo, Height: 522
idd: 639, Name: Ramlinsburg, Height: 521
idd: 640, Name: Col de la Croix-Rouge, Height: 514
idd: 641, Name: Col d'Èze, Height: 513
idd: 642, Name: Col d'Aspremont, Height: 501
idd: 643, Name: Col Saint-Antoine (Vico), Height: 493
idd: 644, Name: Zurzacherberg Passhöhe, Height: 489
idd: 645, Name: Passo dei Giovi, Height: 477
idd: 646, Name: Col de Vescavo, Height: 477
idd: 647, Name: Colle di Cadibona, Height: 455
idd: 648, Name: Valico Arcu e Tidu, Height: 430
idd: 649, Name: Col de Nice, Height: 420
idd: 650, Name: Col de Palmarella, Bocca di Palmarella, Height: 408
idd: 651, Name: Col San Bastiano, Bocca di San Bastianu, Height: 404
idd: 652, Name: Su Ferru e Su Caddu (Alghero-Bosa), Height: 363
idd: 653, Name: Col des Quatre Chemins, Height: 337
idd: 654, Name: Col du Serre de Tourre, Height: 323
idd: 655, Name: Bocca Albitrina, Height: 295
idd: 656, Name: Passo San Giovanni, Height: 287
idd: 657, Name: Bocca di Carbinica, Height: 282
idd: 658, Name: Col de la Croix, Bocca à Croce, Height: 260
idd: 659, Name: Col de Linstincone, Bocca di Linstincone, Height: 246
idd: 660, Name: Bocca di Roccapina, Height: 151
idd: 661, Name: Bocca d'Arbia, Height: 133
